,0
Hit Ratio (%),25.0
Profit / Loss Ratio,2.6539711825689682
Realized Average Win % Per Trade,6.4
Realized Average Loss % Per Trade,-2.3288235294117645
Average Hold Period For Winning Trades (Days),11.714285714285714
Average Hold Period For Losing Trades (Days),0.9411764705882353
Expected Value (EV),-0.1466176470588234
